n,algo,welfare,run_id,alpha,p_ic,seed_fraction,budget_cost,num_seeds,total_seed_cost,influence,utility_gap,price_of_fairness,runtime_sec
5000,optimized-grasp,-3,2,0.5,0.01,0.05,250.0,65,249.9986,205.872,23.8355,0.0,6546.583
5000,optimized-grasp,-3,3,0.5,0.01,0.05,250.0,65,249.9528,206.416,25.9495,0.0,6578.186
5000,optimized-grasp,-3,1,0.5,0.01,0.05,250.0,65,249.9997,206.034,25.4392,0.0,6583.698
5000,g-deg,-3,1,0.5,0.01,0.05,250.0,65,249.0163,202.088,14.7407,0.019152,873.599
5000,g-deg,-3,3,0.5,0.01,0.05,250.0,65,249.9238,203.784,16.1673,0.012751,874.119
5000,g-deg,-3,2,0.5,0.01,0.05,250.0,65,249.5818,203.814,17.0953,0.009997,875.951
5000,cost-effective,-3,1,0.5,0.01,0.05,250.0,65,249.7339,202.026,14.7049,0.019453,877.226
5000,cost-effective,-3,2,0.5,0.01,0.05,250.0,65,249.7192,201.232,14.8608,0.022538,880.19
5000,cost-effective,-3,3,0.5,0.01,0.05,250.0,65,249.9391,204.224,15.4128,0.010619,882.938
5000,two-step,-3,1,0.5,0.01,0.05,250.0,65,249.9699,199.404,20.9989,0.032179,970.361
5000,two-step,-3,2,0.5,0.01,0.05,250.0,65,249.3496,199.418,19.6707,0.03135,970.779
5000,two-step,-3,3,0.5,0.01,0.05,250.0,65,249.951,200.174,21.0127,0.03024,977.214
5000,coverage,-3,2,0.5,0.01,0.05,250.0,65,249.8647,202.302,16.3866,0.017341,991.339
5000,coverage,-3,3,0.5,0.01,0.05,250.0,65,249.2681,202.374,15.9975,0.019582,991.484
5000,coverage,-3,1,0.5,0.01,0.05,250.0,65,249.8303,204.36,16.6053,0.008125,995.986
5000,bridge,-3,2,0.5,0.01,0.05,250.0,67,249.4008,191.982,8.1478,0.067469,441.902
5000,bridge,-3,1,0.5,0.01,0.05,250.0,67,249.1037,191.058,10.1215,0.072687,442.763
5000,bridge,-3,3,0.5,0.01,0.05,250.0,67,248.7144,186.94,8.9259,0.094353,441.992
5000,g_dist,-3,1,0.5,0.01,0.05,250.0,67,249.7657,187.332,8.8715,0.090771,455.125
5000,g_dist,-3,2,0.5,0.01,0.05,250.0,66,249.2657,195.226,12.6614,0.051712,453.701
5000,g_dist,-3,3,0.5,0.01,0.05,250.0,66,249.4078,197.324,14.0369,0.044047,451.364
